Country,Group,Female Count,Femaie Percent,Male Count,Male Percent,Total Count,_id,MC_Entity,MC_EntityBB,MC_EntityShort,MC_EntityLong,MC_Address,MC_Telephone,MC_Telefax,MC_MembershipDate,MC_Holiday,MC_Category,MC_Category_Type,MC_WebSite,MC_SocialMedia,MC_eMail,MC_UNCorrespondenceLanguage
Nepal,Asia-Pacific States,2,16.67%,10,83.33%,12,5ed5136868235a1f35484c66,NEPAL,Nepal,Nepal,Nepal,"Permanent Mission of Nepal to the United Nations
820 Second Avenue, Suite 17B (17th Floor)
New York, NY 10017","212-370-3988
212-370-3989",212-953-2038,12/14/55,20-Sep,1,,,,nepalmissionusa@gmail.com,English
Portugal,Western European and other States,4,28.57%,10,71.43%,14,5ed5136868235a1f35484c77,PORTUGAL,Portugal,Portugal,Portuguese Republic,"Permanent Mission of Portugal
to the United Nations
866 Second Avenue, 9th Floor
New York, NY 10017",212-759-9444,,12/14/55,"Day of Portugal, Camões, and the Portuguese Communities, 10 June",1,,www.onu.missaoportugal.mne.pt,,portugal.nu@mne.pt,English
Romania,Eastern European States,4,33.33%,8,66.67%,12,5ed5136868235a1f35484c7b,ROMANIA,Romania,Romania,Romania,"Permanent Mission of Romania
to the United Nations
573-577 Third Avenue
New York, NY 10016","212-682-3273
212-682-3274 (Ambassador's Office)",212-682-9746,12/14/55,1-Dec,1,,www.mpnewyork.mae.ro,,newyork-onu@mae.ro,English/French
Spain,Western European and other States,9,39.13%,14,60.87%,23,5ed5136868235a1f35484c90,SPAIN,Spain,Spain,Kingdom of Spain,"Permanent Mission of Spain
to the United Nations
One Dag Hammarskjöld Plaza
245 East 47th Street, 36th Floor
New York, NY 10017",212-661-1050,212-557-7025,12/14/55,12-Oct,1,,www.spainun.org,,Rep.nuevayorkonu@maec.es,Spanish
Sri Lanka,Asia-Pacific States,1,25.00%,3,75.00%,4,5ed5136868235a1f35484c91,SRI LANKA,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka,"Permanent Mission of the Democratic Socialist Republic
of Sri Lanka to the United Nations
820 Second Avenue, 2nd Floor
New York, NY 10017",212-986-7040,212-986-1838,12/14/55,"Independence Day, 4 February",1,,www.un.int/srilanka,Facebook: SriLankaUNNewYork Twitter: SLUNNEWYORK,prun.newyork@mfa.gov.lk; mail@slmission.com,English
Morocco,African States,8,33.33%,16,66.67%,24,5ed5136868235a1f35484c61,MOROCCO,Morocco,Morocco,Kingdom of Morocco,"Permanent Mission of the Kingdom
of Morocco to the United Nations
866 Second Avenue, 6th and 7th Floors
New York, NY 10017",212-421-1580,"212-980-1512
212-421-7826",11/12/56,"National Day, 30 July",1,,,,morocco.un@maec.gov.ma,French
Sudan,African States,3,23.08%,10,76.92%,13,5ed5136868235a1f35484c92,SUDAN,Sudan,Sudan,Republic of the Sudan,"Permanent Mission of the Republic
of the Sudan to the United Nations
305 East 47th Street
3 Dag Hammarskjöld Plaza, 4th Floor
New York, NY 10017",212-573-6033,212-573-6160,11/12/56,"Independence Day, 1 January",1,,,,sudan@sudanmission.org,English
Tunisia,African States,2,20.00%,8,80.00%,10,5ed5136868235a1f35484c9d,TUNISIA,Tunisia,Tunisia,Republic of Tunisia,"Permanent Mission of Tunisia
to the United Nations
31 Beekman Place
New York, NY 10022","212-751-7503
212-751-7534
212-751-5069","212-986-1620
212-986-1650 (Ambassador's Office)",11/12/56,"Independence Day, 20 March",1,,,,tunisia@un.int; tunisiamission@usa.com,French
Japan,Asia-Pacific States,18,32.14%,38,67.86%,56,5ed5136868235a1f35484c43,JAPAN,Japan,Japan,Japan,"Permanent Mission of Japan
to the United Nations
605 Third Avenue, 28th Floor
New York, NY 10158",212-223-4300,"212-751-1966
212-308-1580 (Protocol Section)
212-521-0671 (General Section)
212-308-1451 (Political Section)
212-308-1468 (Economic Section)
212-521-0672 (Social Section) 212-521-0675 (Admin & Budgetary Section)",12/18/56,"Birthday of the Emperor, 23 February",1,,,,p-m-j@dn.mofa.go.jp,English
Ghana,African States,13,43.33%,17,56.67%,30,5ed5136868235a1f35484c30,GHANA,Ghana,Ghana,Republic of Ghana,"Permanent Mission of Ghana
to the United Nations
19 East 47th Street
New York, NY 10017",212-832-1302,212-751-6743,3/8/57,"Independence Day, 6 March",1,,,,ghanaperm.newyork@mfa.gov.gh,English
Malaysia,Asia-Pacific States,3,27.27%,8,72.73%,11,5ed5136868235a1f35484c55,MALAYSIA,Malaysia,Malaysia,Malaysia,"Permanent Mission of Malaysia
to the United Nations
313 East 43rd Street
New York, NY 10017",212-986-6310,212-490-8576,9/17/57,31-Aug,1,,"www.un.int/malaysia
https://www.kln.gov.my/web/usa_un-new-york",,mwnewyorkun@kln.gov.my,English
Guinea,African States,3,37.50%,5,62.50%,8,5ed5136868235a1f35484c34,GUINEA,Guinea,Guinea,Republic of Guinea,"Permanent Mission of the Republic
of Guinea to the United Nations
140 East 39th Street
New York, NY 10016",212-687-8115,212-687-8248,12/12/58,"Independence Day, 2 October",1,,,,missionofguinea.un@gmail.com,French
Benin,African States,,,3,100.00%,3,5ed5136868235a1f35484c00,BENIN,Benin,Benin,Republic of Benin,"Permanent Mission of the Republic
of Benin to the United Nations
355 Lexington Avenue, Unit 14B
New York, NY 10017",212-684-1339,646-790-3556,9/20/60,1-Aug,1,,,,onu.newyork@gouv.bj; beninewyork@gmail.com,French
Burkina Faso,African States,3,27.27%,8,72.73%,11,5ed5136868235a1f35484c08,BURKINA FASO,Burkina Faso,Burkina Faso,Burkina Faso,"Permanent Mission of Burkina Faso
to the United Nations
633 Third Avenue, Suite 31A, 31st Floor
between 40th & 41st Streets
New York, NY 10017","212-308-4720
212-308-4721",212-308-4690,9/20/60,11-Dec,1,,,,miperfaso.ny@burkina-onu.org,French
Cameroon,African States,2,13.33%,13,86.67%,15,5ed5136868235a1f35484c0c,CAMEROON,Cameroon,Cameroon,Republic of Cameroon,"Permanent Mission of the Republic
of Cameroon to the United Nations
22 East 73rd Street
New York, NY 10021","646-850-1824 Ext. 102 (Main line)
646-850-1827 Ext. 103 (Assistant to the Permanent Representative)",646-850-1820,9/20/60,20-May,1,,,,cameroon.mission@yahoo.com,French/English
Central African Republic,African States,1,12.50%,7,87.50%,8,5ed5136868235a1f35484c0e,CENTRAL AFRICAN REPUBLIC,Central African Republic,Central African Republic,Central African Republic,"Permanent Mission of the Central African Republic
to the United Nations
369 Lexington Avenue, Suite 7A, 7th Floor
New York, NY 10017","646-998-3018 (Secretariat), 646-370-6521 (Office of the Ambassador/Permanent Representative)
",,9/20/60,1-Dec,1,,,,"repercaf.ny@gmail.com
",French
Chad,African States,1,11.11%,8,88.89%,9,5ed5136868235a1f35484c0f,CHAD,Chad,Chad,Republic of Chad,"Permanent Mission of the Republic
of Chad to the United Nations
129 East 36th Street
New York, NY 10016","212-986-0980
212-986-0262",212-986-0152,9/20/60,11-Aug,1,,,,chadmission.un@gmail.com,French
Congo,African States,2,16.67%,10,83.33%,12,5ed5136868235a1f35484c14,CONGO,Congo,Congo,Republic of the Congo,"Permanent Mission of the Republic
of the Congo to the United Nations
600 Third Avenue, 2nd Floor
New York, NY 10016","212-744-7840,
646-571-2337",,9/20/60,"National Day, 15 August",1,,,,cgbrazzadel60@gmail.com,French
Cyprus,Asia-Pacific States,5,71.43%,2,28.57%,7,5ed5136868235a1f35484c19,CYPRUS,Cyprus,Cyprus,Republic of Cyprus,"Permanent Mission of the Republic
of Cyprus to the United Nations
15 West 38th Street, 11th Floor
New York, NY 10018","212-481-6023
212-482-6025",,9/20/60,"Independence Day, 1 October",1,,www.cyprusun.org,,unmission@mfa.gov.cy,English
Democratic Republic of the Congo,African States,4,33.33%,8,66.67%,12,5ed5136868235a1f35484c1c,DEMOCRATIC REPUBLIC OF THE CONGO,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,"Permanent Mission of the Democratic Republic
of the Congo to the United Nations
866 United Nations Plaza, Suite 511
New York, NY 10017",212-319-8061,212-319-8232,9/20/60,"Independence Day, 30 June",1,,https://pmundrc-ny.org/,,missiondrc@gmail.com,French
Gabon,African States,5,50.00%,5,50.00%,10,5ed5136868235a1f35484c2c,GABON,Gabon,Gabon,Gabonese Republic,"Permanent Mission of the Gabonese
Republic to the United Nations
244 East 58th Street
New York, NY 10022",212-686-9720,917-675-7485,9/20/60,17-Aug,1,,,,info@gabonunmission.com,French
Madagascar,African States,,,3,100.00%,3,5ed5136868235a1f35484c53,MADAGASCAR,Madagascar,Madagascar,Republic of Madagascar,"Permanent Mission of the Republic
of Madagascar to the United Nations
820 Second Avenue, Suite 800
New York, NY 10017",646-933-1028,,9/20/60,"Independence Day, 26 June",1,,,,"repermad.ny@gmail.com
",French
Niger,African States,2,25.00%,6,75.00%,8,5ed5136868235a1f35484c6a,NIGER,Niger,Niger,Republic of the Niger,"Permanent Mission of the Niger
to the United Nations
417 East 50th Street
New York, NY 10022","212-421-3260
212-421-3261
212-421-3286",212-753-6931,9/20/60,"Independence Day, 3 August",1,,,,nigermission@ymail.com,French
Somalia,African States,2,22.22%,7,77.78%,9,5ed5136868235a1f35484c8d,SOMALIA,Somalia,Somalia,Federal Republic of Somalia,"Permanent Mission of the Federal Republic
of Somalia to the United Nations
369 Lexington Avenue, Suite 14B
New York, NY 10017","212-659-5014
212-659-5015",212-659-5016,9/20/60,1-Jul,1,,,,somalia@unmission.gov.so,English
Togo,African States,3,30.00%,7,70.00%,10,5ed5136868235a1f35484c9a,TOGO,Togo,Togo,Republic of Togo,"Permanent Mission of Togo
to the United Nations
600 Third Avenue, 2nd Floor
New York, NY 10016","212-490-3455
212-490-3456",212-983-6684,9/20/60,"National Day, 27 April",1,,www.missiontogo-onu-newyork.com,,togo.mission@togounmission.org,French
Mali,African States,2,22.22%,7,77.78%,9,5ed5136868235a1f35484c57,MALI,Mali,Mali,Republic of Mali,"Permanent Mission of the Republic
of Mali to the United Nations
111 East 69th Street
New York, NY 10021","212-737-4150
212-794-1311",212-472-3778,9/28/60,"Independence Day,  22 September",1,,www.un.int/mali,,miperma@malionu.com,French
Senegal,African States,4,16.00%,21,84.00%,25,5ed5136868235a1f35484c85,SENEGAL,Senegal,Senegal,Republic of Senegal,"Permanent Mission of the Republic
of Senegal to the United Nations
229 East 44th Street
New York, NY 10017","212-517-9030
212-517-9031
212-517-9032",212-517-3032,9/28/60,"Independence Day, 4 April",1,,,,senegal.mission@yahoo.fr,French
Nigeria,African States,7,20.59%,27,79.41%,34,5ed5136868235a1f35484c6b,NIGERIA,Nigeria,Nigeria,Federal Republic of Nigeria,"Permanent Mission of Nigeria
to the United Nations
828 Second Avenue
New York, NY 10017",212-953-9130,"212-697-1970
212-697-0647",10/7/60,"Independence Day, 1 October",1,,http://nigeriaunmission.org/,,permny@nigeriaunmission.org,English
Sierra Leone,African States,12,35.29%,22,64.71%,34,5ed5136868235a1f35484c88,SIERRA LEONE,Sierra Leone,Sierra Leone,Republic of Sierra Leone,"Permanent Mission of the Republic
of Sierra Leone to the United Nations
228 East 45th Street, 7th Floor
New York, NY 10017",347-760-6058,212-688-4924,9/27/61,"Independence Day, 27 April",1,,,,sierraleone@pmun.net,English
Mauritania,African States,2,14.29%,12,85.71%,14,5ed5136868235a1f35484c5a,MAURITANIA,Mauritania,Mauritania,Islamic Republic of Mauritania,"Permanent Mission of the Islamic Republic
of Mauritania to the United Nations
820 Second Avenue, Suite 17A
New York, NY 10017","646-590-2756
",646-590-2757,10/27/61,"Independence Day, 28 November",1,,,,ambarimnewyork@diplomatie.gov.mr,French
Mongolia,Asia-Pacific States,5,50.00%,5,50.00%,10,5ed5136868235a1f35484c5f,MONGOLIA,Mongolia,Mongolia,Mongolia,"Permanent Mission of Mongolia
to the United Nations
6 East 77th Street
New York, NY 10075","212-861-9460
212-737-3874",212-861-9464,10/27/61,11-Jul,1,,www.un.int/mongolia,,mongolianmission@twcmetrobiz.com,English
United Republic of Tanzania,African States,2,22.22%,7,77.78%,9,5ed5136868235a1f35484ca5,UNITED REPUBLIC OF TANZANIA,United Republic of Tanzania,United Republic of Tanzania,United Republic of Tanzania,"Permanent Mission of the United Republic
of Tanzania to the United Nations
307 East 53rd Street, 5th Floor 
New York, NY 10022",212-697-3612,212-697-3618,12/14/61,"Union Day, 26 April",1,,www.un.int/tanzania,,tanzania.un@nje.go.tz,English
Burundi,African States,1,25.00%,3,75.00%,4,5ed5136868235a1f35484c09,BURUNDI,Burundi,Burundi,Republic of Burundi,"Permanent Mission of the Republic
of Burundi to the United Nations
336 East 45th Street, 12th Floor
New York, NY 10017","212-499-0001
212-499-0002",212-499-0006,9/18/62,"Independence Day, 1 July",1,,www.burundimission.org,,ambabunewyork@yahoo.fr,French
Jamaica,Latin American and Caribbean States,8,88.89%,1,11.11%,9,5ed5136868235a1f35484c42,JAMAICA,Jamaica,Jamaica,Jamaica,"Permanent Mission of Jamaica
to the United Nations
300 East 42nd Street, Third Floor
New York, NY 10017",212-935-7509,347-706-4985,9/18/62,"Independence Day, 6 August",1,,www.un.int/jamaica,,info.unmissionny@mfaft.gov.jm,English
Rwanda,African States,1,20.00%,4,80.00%,5,5ed5136868235a1f35484c7d,RWANDA,Rwanda,Rwanda,Republic of Rwanda,"Permanent Mission of the Republic
of Rwanda to the United Nations
124 East 39th Street
New York, NY 10016",212-679-9010,917-591-9279,9/18/62,"Independence Day, 1 July",1,,,,ambanewyork@minaffet.gov.rw,English
Trinidad and Tobago,Latin American and Caribbean States,5,83.33%,1,16.67%,6,5ed5136868235a1f35484c9c,TRINIDAD AND TOBAGO,Trinidad and Tobago,Trinidad and Tobago,Republic of Trinidad and Tobago,"Permanent Mission of the Republic
of Trinidad and Tobago to the United Nations
633 Third Avenue, 12th Floor
New York, NY 10017",212-697-7620,212-682-3580,9/18/62,31-Aug,1,,,,pmun-ny@trinbago.org,English
Algeria,African States,12,40.00%,18,60.00%,30,5ed5136868235a1f35484bf0,ALGERIA,Algeria,Algeria,People's Democratic Republic of Algeria,"Permanent Mission of Algeria
to the United Nations
326 East 48th Street
New York, NY 10017","212-750-1960
212-750-1962
212-750-1965
212-750-1966","212-759-9538
212-759-5274",10/8/62,1-Nov,1,,www.un.int/algeria,,algeriamission.ny@gmail.com,English
Uganda,African States,4,28.57%,10,71.43%,14,5ed5136868235a1f35484ca1,UGANDA,Uganda,Uganda,Republic of Uganda,"Permanent Mission of the Republic
of Uganda to the United Nations
336 East 45th Street
New York, NY 10017","212-949-0110
212-949-0111
212-949-0112
212-949-0113",212-687-4517,10/25/62,"Independence Day, 9 October",1,,ugandamissionunny.net,,admin@ugandaunny.com,English
Kuwait,Asia-Pacific States,1,9.09%,10,90.91%,11,5ed5136868235a1f35484c48,KUWAIT,Kuwait,Kuwait,State of Kuwait,"Permanent Mission of the State
of Kuwait to the United Nations
321 East 44th Street
New York, NY 10017",212-973-4300,212-370-1733,5/14/63,25-Feb,1,,www.kuwaitmissionun.org,,kuwait@kuwaitmissionun.org,English
Kenya,African States,8,50.00%,8,50.00%,16,5ed5136868235a1f35484c46,KENYA,Kenya,Kenya,Republic of Kenya,"Permanent Mission of the Republic
of Kenya to the United Nations
866 United Nations Plaza, Suite 304
New York, NY 10017",212-363-0489,,12/16/63,"Independence Day, 12 December",1,,www.un.int/kenya,,info@kenyaun.org,English
Malawi,African States,6,50.00%,6,50.00%,12,5ed5136868235a1f35484c54,MALAWI,Malawi,Malawi,Republic of Malawi,"Permanent Mission of the Republic
of Malawi to the United Nations
866 United Nations Plaza, Suite 486
New York, NY 10017","212-317-8738
212-317-8718",212-317-8729,12/1/64,"Republic Day, 6 July",1,,,,MalawiNewyork@aol.com; MalawiU@aol.com,English
Malta,Western European and other States,3,60.00%,2,40.00%,5,5ed5136868235a1f35484c58,MALTA,Malta,Malta,Republic of Malta,"Permanent Mission of the Republic
of Malta to the United Nations
244 East 48th Street
New York, NY 10017",212-725-2345,212-779-7097,12/1/64,"Independence Day, 21 September",1,,"https
//foreignaffairs.gov.mt/en/Embassies/Pr_New_York/Pages/Pr_New_York.aspx",,malta-un.newyork@gov.mt,English
Zambia,African States,6,60.00%,4,40.00%,10,5ed5136868235a1f35484cad,ZAMBIA,Zambia,Zambia,Republic of Zambia,"Permanent Mission of the Republic
of Zambia to the United Nations
237 East 52nd Street
New York, NY 10022",212-888-5770,212-888-5213,12/1/64,24-Oct,1,,,,un@grz.gov.zm,English
Gambia,African States,2,33.33%,4,66.67%,6,5ed5136868235a1f35484c2d,GAMBIA,Gambia,Gambia,Republic of The Gambia,"Permanent Mission of The Gambia
to the United Nations
336 East 45th Street, 7th Floor
New York, NY 10017",212-949-6640,212-856-9820,9/21/65,18-Feb,1,,,,gambia_un@hotmail.com,English
Maldives,Asia-Pacific States,3,33.33%,6,66.67%,9,5ed5136868235a1f35484c56,MALDIVES,Maldives,Maldives,Republic of Maldives,"Permanent Mission of the Republic
of Maldives to the United Nations
801 Second Avenue, Suite 202
New York, NY 10017","212-599-6194
212-599-6195",212-661-6405,9/21/65,"Independence Day, 26 July",1,,www.MaldivesMission.com,,info@maldivesmission.com,English
Singapore,Asia-Pacific States,7,43.75%,9,56.25%,16,5ed5136868235a1f35484c89,SINGAPORE,Singapore,Singapore,Republic of Singapore,"Permanent Mission of the Republic
of Singapore to the United Nations
318 East 48th Street
New York, NY 10017",212-826-0840,212-826-2964,9/21/65,"National Day, 9 August",1,,http://www.mfa.gov.sg/newyork,,singaporeun@outlook.com,English
Guyana,Latin American and Caribbean States,10,83.33%,2,16.67%,12,5ed5136868235a1f35484c36,GUYANA,Guyana,Guyana,Co-operative Republic of Guyana,"Permanent Mission of the 
Co-operative Republic
of Guyana to the United Nations
801 Second Avenue, 5th Floor
New York, NY 10017","212-573-5828
212-573-5829",212-573-6225,9/20/66,23-Feb,1,,www.un.int/guyana,,pmny@mission.gov.gy,English
Botswana,African States,4,57.14%,3,42.86%,7,5ed5136868235a1f35484c04,BOTSWANA,Botswana,Botswana,Republic of Botswana,"Permanent Mission of Botswana
to the United Nations
154 East 46th Street
New York, NY 10017","212-889-2277
212-889-2331
212-889- 2491
212-889-2772",212-725-5061,10/17/66,30-Sep,1,,,,botswana@un.int,English
Lesotho,African States,5,62.50%,3,37.50%,8,5ed5136868235a1f35484c4d,LESOTHO,Lesotho,Lesotho,Kingdom of Lesotho,"Permanent Mission of the Kingdom
of Lesotho the United Nations
210 East 39th Street
New York, NY 10016",332-262-3300,212-682-4388,10/17/66,4-Oct,1,,,,lesothonewyork@gmail.com,English
Barbados,Latin American and Caribbean States,3,60.00%,2,40.00%,5,5ed5136868235a1f35484bfc,BARBADOS,Barbados,Barbados,Barbados,"Permanent Mission of Barbados
to the United Nations
820 Second Avenue, 9th Floor
New York, NY 10017",212-551-4300,646-329-6824,12/9/66,30-Nov,1,,,,prun@foreign.gov.bb; barbados@un.int,English
Mauritius,African States,4,80.00%,1,20.00%,5,5ed5136868235a1f35484c5b,MAURITIUS,Mauritius,Mauritius,Republic of Mauritius,"Permanent Mission of the Republic
of Mauritius to the United Nations
211 East 43rd Street, 22nd Floor
New York, NY 10017","212-949-0190
212-949-0191",212-697-3829,4/24/68,"National Day, 12 March",1,,,,mauritiusmissionnyc@gmail.com,English
Eswatini,African States,2,33.33%,4,66.67%,6,5ed5136868235a1f35484c27,ESWATINI,Eswatini,Eswatini,Kingdom of Eswatini,"Permanent Mission of the Kingdom
of Eswatini to the United Nations
408 East 50th Street
New York, NY 10022","212-371-8910
212-371-8911
212-371-8775
917-517-0589 (mobile) ",212-754-2755,9/24/68,"Independence Day, 6 September",1,,,,eswatini@un.int; eswatinimissionunny@yahoo.com,English
Equatorial Guinea,African States,5,45.45%,6,54.55%,11,5ed5136868235a1f35484c24,EQUATORIAL GUINEA,Equatorial Guinea,Equatorial Guinea,Republic of Equatorial Guinea,"Permanent Mission of Equatorial Guinea
to the United Nations
800 Second Avenue, Suite 305
New York, NY 10017",212-223-2324,212-223-2366,11/12/68,"Independence Day, 12 October",1,,http://equatorialguineaun.org,,info@equatorialguineaun.org,Spanish
Fiji,Asia-Pacific States,2,50.00%,2,50.00%,4,5ed5136868235a1f35484c29,FIJI,Fiji,Fiji,Republic of Fiji,"Permanent Mission of the Republic
of Fiji to the United Nations
801 Second Avenue, 20th Floor
New York, NY 10017",212-687-4130,212-687-3963,10/13/70,10-Oct,1,,,,mission@fijiprun.org,English
Bahrain,Asia-Pacific States,2,40.00%,3,60.00%,5,5ed5136868235a1f35484bfa,BAHRAIN,Bahrain,Bahrain,Kingdom of Bahrain,"Permanent Mission of the Kingdom
of Bahrain to the United Nations
866 Second Avenue, 14th and 15th Floors
New York, NY 10017",212-223-6200,"212-319-0687
212-223-6206",9/21/71,16-Dec,1,,,,newyork.mission@mofa.gov.bh,English
Bhutan,Asia-Pacific States,,,6,100.00%,6,5ed5136868235a1f35484c01,BHUTAN,Bhutan,Bhutan,Kingdom of Bhutan,"Permanent Mission of the Kingdom
of Bhutan to the United Nations
343 East 43rd Street
New York, NY 10017","212-682-2268
212-682-2312
212-682-2371
212-682-2752",212-661-0551,9/21/71,"National Day, 17 December",1,,,,bhutanmission@pmbny.bt,English
Qatar,Asia-Pacific States,3,27.27%,8,72.73%,11,5ed5136868235a1f35484c78,QATAR,Qatar,Qatar,State of Qatar,"Permanent Mission of the State
of Qatar to the United Nations
809 United Nations Plaza, 4th Floor
New York, NY 10017","212-486-9335
",212-758-4952,9/21/71,"National Day, 18 December",1,,,,pmun@mofa.gov.qa,English
Oman,Asia-Pacific States,4,40.00%,6,60.00%,10,5ed5136868235a1f35484c6e,OMAN,Oman,Oman,Sultanate of Oman,"Permanent Mission of the Sultanate
of Oman to the United Nations
3 Dag Hammarskjöld Plaza
305 East 47th Street, 12th Floor
New York, NY 10017",212-355-3505,212-644-0070,10/7/71,18-Nov,1,,,,oman@un.int,English
United Arab Emirates,Asia-Pacific States,6,50.00%,6,50.00%,12,5ed5136868235a1f35484ca3,UNITED ARAB EMIRATES,United Arab Emirates,United Arab Emirates,United Arab Emirates,"Permanent Mission of the United Arab Emirates
to the United Nations
315 East 46th Street
New York, NY 10017
",212-371-0480,212-371-4923,12/9/71,2-Dec,1,,,,"nyunprm@mofaic.gov.ae;  
 NYUNPRM@UAEUN.ORG",English
Bahamas,Latin American and Caribbean States,4,44.44%,5,55.56%,9,5ed5136868235a1f35484bf9,BAHAMAS,Bahamas,Bahamas,Commonwealth of The Bahamas,"Permanent Mission of the Commonwealth
of The Bahamas to the United Nations
231 East 46th Street
New York, NY 10017","212-421-6925
212-421-6926
212-421-6929",212-759-2135,9/18/73,"Independence Day, 10 July",1,,,,mission@bahamasny.com,English
Germany,Western European and other States,35,36.46%,61,63.54%,96,5ed5136868235a1f35484c2f,GERMANY,Germany,Germany,Federal Republic of Germany,"Permanent Mission of Germany
to the United Nations
871 United Nations Plaza
New York, NY 10017",212-940-0400,"212-940-0402 (General)
212-040-0403 (Political Section)
212-940-0404 (Economic Section)
212-610-9709 (Administrative)",9/18/73,3-Oct,1,,,,info@new-york-un.diplo.de,English
Bangladesh,Asia-Pacific States,2,28.57%,5,71.43%,7,5ed5136868235a1f35484bfb,BANGLADESH,Bangladesh,Bangladesh,People's Republic of Bangladesh,"Permanent Mission of the People’s Republic
of Bangladesh to the United Nations
820 Second Avenue, 4th Floor
New York, NY 10017","212-867-3434
212-867-3437",212-972-4038,9/17/74,"Independence Day, 26 March",1,,"https
//nypm.mofa.gov.bd",,bangladeshatun@gmail.com; bdpmny@gmail.com,English
Grenada,Latin American and Caribbean States,1,50.00%,1,50.00%,2,5ed5136868235a1f35484c32,GRENADA,Grenada,Grenada,Grenada,"Permanent Mission of Grenada
to the United Nations
685 Third Avenue, Suite 1101
New York, NY 10017",212-599-0301 Ext. 254,212-599-1540,9/17/74,"Independence Day, 7 February",1,,www.grenadamissiontotheun.org,,gmun@mofa.gov.gd,English
Guinea-Bissau,African States,2,40.00%,3,60.00%,5,5ed5136868235a1f35484c35,GUINEA-BISSAU,Guinea-Bissau,Guinea-Bissau,Republic of Guinea-Bissau,"Permanent Mission of the Republic
of Guinea-Bissau to the United Nations
336 East 45th Street, 13th Floor
New York, NY 10017",646-590-3474; 646-678-4034,212-896-8313,9/17/74,24-Sep,1,,,,guinebissauonu@gmail.com,French
Cabo Verde,African States,3,75.00%,1,25.00%,4,5ed5136868235a1f35484c0a,CABO VERDE,Cabo Verde,Cabo Verde,Republic of Cabo Verde,"Permanent Mission of the Republic
of Cabo Verde to the United Nations
27 East 69th Street
New York, NY 10021","212-472-0333
212-472-0334",,9/16/75,5-Jul,1,,,,cvpm.unny@mnec.gov.cv,French
Mozambique,African States,2,22.22%,7,77.78%,9,5ed5136868235a1f35484c62,MOZAMBIQUE,Mozambique,Mozambique,Republic of Mozambique,"Permanent Mission of the Republic
of Mozambique to the United Nations
420 East 50th Street
New York, NY 10022","212-644-6800
212-644-5965","212-644-5972
212-644-0528",9/16/75,"Independence Day, 25 June",1,,,,mozambique.unmission@gmail.com,English
Sao Tome and Principe,African States,,,1,100.00%,1,5ed5136868235a1f35484c83,SAO TOME AND PRINCIPE,Sao Tome and Principe,Sao Tome and Principe,Democratic Republic of Sao Tome and Principe,"Permanent Mission of Sao Tome
and Principe to the United Nations
866 Second Avenue, 9th Floor, Suite A
New York, NY 10017",929-733-5940,,9/16/75,"Independence Day, 12 July",1,,,,missaony.onu@mne.gov.st ; djazalde.aguiar@mne.gov.st,French
Papua New Guinea,Asia-Pacific States,1,33.33%,2,66.67%,3,5ed5136868235a1f35484c72,PAPUA NEW GUINEA,Papua New Guinea,Papua New Guinea,Independent State of Papua New Guinea,"Permanent Mission of the Independent State
of Papua New Guinea to the United Nations
201 East 42nd Street, Suite 2411
New York, NY 10017",212-557-5001,212-557-5009,10/10/75,"Independence Day, 16 September",1,,,,pngun@pngmission.org,English
Comoros,African States,,,3,100.00%,3,5ed5136868235a1f35484c13,COMOROS,Comoros,Comoros,Union of the Comoros,"Permanent Mission of the Union
of the Comoros to the United Nations
866 United Nations Plaza, Suite 495
New York, NY 10017",212-750-1637,,11/12/75,"Independence Day, 6 July",1,,www.un.int/comoros,,comores.nu@gmail.com,French
Suriname,Latin American and Caribbean States,3,75.00%,1,25.00%,4,5ed5136868235a1f35484c93,SURINAME,Suriname,Suriname,Republic of Suriname,"Permanent Mission of the Republic
of Suriname to the United Nations
633 Third Avenue, 17th Floor
New York, NY 10017","212-826-0660
212-826-0661
212-826-0662
212-826-0663",,12/4/75,"Independence Day, 25 November",1,,,,suriname_un@proton.me,English
Seychelles,African States,1,33.33%,2,66.67%,3,5ed5136868235a1f35484c87,SEYCHELLES,Seychelles,Seychelles,Republic of Seychelles,"Permanent Mission of the Republic
of Seychelles to the United Nations
685 Third Avenue, Suite 1107, 11th Floor
New York, NY 10017",212-972-1785,212-972-1786,9/21/76,"Independence Day, 29 June",1,,,,seychellesmissionun@gmail.com; seychellesmission@sycun.org,English
Angola,African States,5,29.41%,12,70.59%,17,5ed5136868235a1f35484bf2,ANGOLA,Angola,Angola,Republic of Angola,"Permanent Mission of the Republic
of Angola to the United Nations
820 Second Avenue, 12th Floor
New York, NY 10017","212-861-5656
",212-861-9295,12/1/76,"Independence Day, 11 November",1,,,,AMission@angolaun.org,English
Samoa,Asia-Pacific States,1,25.00%,3,75.00%,4,5ed5136868235a1f35484c81,SAMOA,Samoa,Samoa,Independent State of Samoa,"Permanent Mission of the Independent State
of Samoa to the United Nations
685 Third Avenue, 11th Floor
Suite 1102
New York, NY 10017","212-599-6196
212-599-6197",212-599-0797,12/15/76,"Independence Celebration Day, 1 June",1,,www.un.int/samoa/,,samoa@samoanymission.ws,English
